song_name,song_popularity
Whatever You Like,75
"One, Two Step",78
Unwritten,77
Wrecking Ball,74
So What,65
"Whenever, Wherever",76
Baby Boy,69
It's Gonna Be Me,67
My Boo,77
Sex on Fire,81
Stronger (What Doesn't Kill You),52
Over My Head (Cable Car),60
For the First Time,65
Girlfriend,69
Fallin',76
Use Somebody,79
How to Save a Life,83
Not Over You,69
Before He Cheats,73
Dirrty (feat. Redman),72
Caught Up,31
If I Ain't Got You,81
Wherever You Will Go,67
You Found Me,76
"Independent Women, Pt. 1",63
Because of You,75
Get The Party Started,67
The Anthem,73
I Don't Want to Be,63
The Way You Move (feat. Sleepy Brown) - Club Mix,68
Better in Time,73
Over You,64
The Great Escape,67
Your Body Is a Wonderland,78
Superman (It's Not Easy),48
Vivir Mi Vida,68
La Vida Es Un Carnaval,24
Lambada - Original Version 1989,67
La Camisa Negra,29
La Gota Fría,66
Suavemente,63
Bailando - Spanish Version,71
Danza Kuduro,71
Conga,59
La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,66
Guantanamera,58
El Matador,11
Amor Prohibido,61
Hips Don't Lie,84
Mi Gente,77
Obsesion,74
Let's Get Loud,70
Oye Como Va,56
Despacito (Featuring Daddy Yankee),80
Bamboleo,54
Pedro Navaja,60
Gasolina,77
Mambo No 5,52
De Música Ligera,51
Macarena,62
La Bamba,57
Querida,4
Maria Maria - Radio Mix,56
La ingrata,65
Corazón partio,74
I Know You Want Me (Calle Ocho),7
Livin' la Vida Loca,73
Rebelión,43
La Maza,58
Amor Eterno,59
Besame Mucho,7
Mais Que Nada,52
El Cantante,58
Chan Chan,7
Amigo,41
The Girl From Ipanema - Stereo Version,50
Oye Mi Amor,63
Latinoamérica,68
"Soy un Truhán, Soy un Señor",50
Mediterraneo,60
Gracias a la Vida,52
La Cumparsita,42
Paloma negra,50
El Rey,40
Feliz Navidad,57
All Along the Watchtower,78
My Generation - Stereo Version,69
(I Can't Get No) Satisfaction,48
"Hello, I Love You",63
Whole Lotta Love,77
Hey Jude - Remastered 2015,77
White Room,71
You Really Got Me - Mono Mix,71
Surfin' U.S.A. - Remastered,70
"Oh, Pretty Woman",71
Back In The U.S.S.R. - 2018 Mix,61
For What It's Worth,75
Fortunate Son,81
Born To Be Wild - Single Version,67
House Of The Rising Sun,70
Louie Louie,68
I Heard It Through The Grapevine - Single Version (Mono),61
Crimson And Clover - Single Version,56
Evil Ways,59
Purple Haze,71
California Dreamin' - Single Version,73
Like a Rolling Stone,72
Suite: Judy Blue Eyes - Remastered,64
Turn! Turn! Turn! (To Everything There Is a Season),65
I Saw Her Standing There - Remastered 2009,68
Light My Fire,71
Pinball Wizard,69
The Sounds of Silence,54
Green Onions,66
Sweet Caroline - Single Version,58
Good Lovin' - Single Version,52
The Twist,60
Sunshine Of Your Love,72
Hit the Road Jack,13
Proud Mary,30
Dazed And Confused,63
Summertime Blues,37
I Want To Hold Your Hand - Remastered 2015,74
Runaround Sue,64
All Day and All of the Night - 2014 Remastered Version,38
River Deep - Mountain High,51
Summer in the City - Remastered,63
Jumpin' Jack Flash - Mono / Remastered,21
Foxey Lady,62
Somebody to Love,69
Time Has Come Today,53
Heart Full of Soul,63
Do You Believe in Magic?,66
"Paint It, Black - Mono",67
Good Vibrations - Remastered,70
Psychotic Reaction,55
Yesterday - Remastered 2009,74
Nights In White Satin - Single Version / Mono Mix,66
Space Oddity - 2015 Remastered Version,72
Magic Carpet Ride,68
Needles and Pins - Mono,58
The Weight - Remastered,55
Bring It On Home to Me,71
Bad Moon Rising,71
Crying,59
Revolution - Remastered,67
Shop Around,54
I Fought The Law,57
The Times They Are A-Changin',70
Honky Tonk Women,57
The End - Remastered,49
She Loves You - Mono / Remastered,67
Heartbreaker,64
Brown Eyed Girl,80
Gimme Shelter,75
Touch Me,63
Surf City - Remastered 1990 / Stereo Remix,47
White Rabbit,70
Green River,60
I Get Around (Mono) - Mono,66
Mr. Tambourine Man,61
With A Little Help From My Friends - Remastered 2009,67
Hush - 2014 Remastered Version,38
For Your Love,53
Street Fighting Man,58
Blowin' In the Wind,68
In My Room - Remastered,50
I'm A Man,14
Gloria - Stereo Version,52
Itchycoo Park,49
Wild Thing,54
Care Of Cell 44,52
See Emily Play - 2016 Remastered Version,33
Alone Again Or - 2015 Remastered Version,58
Psychotic Reaction - Rarities Version,8
Slip Inside This House - Stereo LP Version,43
I Had Too Much To Dream (Last Night),49
96 Tears,30
Have Love Will Travel,55
Kick out the Jams,40
I Hate You,42
I Wanna Be Your Dog,62
I'm Waiting For The Man - Album Version (Stereo),16
Eight Miles High,56
Wipe Out,42
More Than Words,69
Free Fallin',73
Landslide,77
Lean on Me,69
Hotel California - Remastered,83
Fast Car,79
You're So Vain,74
Dust in the Wind,76
Ooh La La,64
You've Got A Friend,53
Redemption Song,71
Crazy Love,54
I'm on Fire,72
Heart Of Gold,70
Wildflowers - Remastered,13
"Rocket Man (I Think It's Going To Be A Long, Long Time)",80
In The Air Tonight - 2015 Remastered,77
Wicked Game - Remastered,65
Hallelujah,64
My Sweet Lord,78
A Horse with No Name,77
Jolene,76
Let It Be - Remastered 2009,78
Maggie May,34
Me and Julio Down by the Schoolyard,71
Where You Lead,62
Me and Bobby McGee,69
If You Could Read My Mind,60
Pink Moon,64
Walkin' Back to Georgia,59
Going To California,55
"My My, Hey Hey (Out of the Blue)",67
I Walk the Line,71
Across The Universe - Remastered 2009,66
Wild World,75
California,62
"Dreams (Sessions, Roughs & Outtakes) - 2004 Remastered Edition",49
Tangled up in Blue,63
Imagine - Remastered 2010,77
Maybe I’m Amazed - Remastered 2011,65
Tom's Diner,46
Easy,58
Up Where We Belong,62
Life On Mars? - 2015 Remastered Version,71
Personal Jesus - Acoustic Version,45
Wuthering Heights,66
Stuck In The Middle With You - Remastered,63
Just The Two Of Us (feat. Bill Withers),65
(You Make Me Feel Like) A Natural Woman,62
Cecilia,68
Our House,67
And It Stoned Me,50
Famous Blue Raincoat,58
All Things Must Pass,59
Stand By Me - Remastered,63
"Baby, I Love Your Way",50
Solsbury Hill,21
Boulder To Birmingham - Remastered,48
Something On Your Mind,53
You're The Inspiration - 2006 Remastered Version,72
Ripple,44
You Are So Beautiful,53
Blue Bayou,63
Bohemian Rhapsody - Remastered 2011,59
Stairway To Heaven,80
Hotel California - Remastered,83
London Calling - Remastered,71
Riders On The Storm,74
Rock And Roll All Nite,74
Who Are You,63
Changes - 2015 Remastered Version,65
Who'll Stop The Rain,66
Me and Bobby McGee,69
Wild Horses,68
Imagine - Remastered 2010,77
Let It Be - Remastered 2009,78
Dream On,79
Roxanne - Remastered 2003,68
Highway to Hell,83
Bang a Gong (Get It On) - Remastered Version,62
Smoke On the Water,63
Black Magic Woman,64
Message In A Bottle - Remastered 2003,67
Free Bird,71
Cocaine,69
Lola - Coca Cola Version,67
Black Dog,72
Blitzkrieg Bop - 2016 Remastered Version,70
I Want You to Want Me,66
Black Diamond,52
Blinded By The Light,63
American Girl,72
Brain Damage,67
Comfortably Numb,75
Born to Run,71
Layla - 40th Anniversary Version / 2010 Remastered,74
Just What I Needed,69
Anarchy In The U.K.,54
American Pie,74
Aqualung,64
Won't Get Fooled Again - Original Album Version,47
Iron Man - Remastered Version,67
The Boys Are Back in Town,74
Walk This Way,71
Maggie May - Remastered Version,53
The Joker,75
We Will Rock You - Remastered,71
Walk On the Wild Side,74
Brown Sugar,69
American Woman - Remastered,65
(Don't Fear) The Reaper,76
Heart of Gold,60
Running On Empty,68
Sultans Of Swing,68
"Rocket Man (I Think It's Going To Be A Long, Long Time)",80
Dreams - 2004 Remastered Edition,80
We Are The Champions - Remastered 2011,67
You Ain't Seen Nothing Yet,53
"Another Brick in the Wall, Pt. 1",63
Roundabout - Remastered Version,64
Ramblin' Man,70
Fire And Rain,72
My Sweet Lord,78
Baba O'Riley,75
Heart Of Glass - Special Mix,68
My Sharona,74
Bennie And The Jets - Remastered 2014,73
Baby Hold On,57
Tangled up in Blue,63
Runnin' With The Devil - 2015 Remastered Version,69
2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,53
All the Young Dudes,65
All Right Now,52
Backstreets,54
Barracuda,72
Ballroom Blitz,59
Black Betty,68
Beast Of Burden - Remastered,73
Band On The Run - Remastered 2010,70
Breakdown,66
Carry on Wayward Son,75
Cat Scratch Fever,63
Bridge Over Troubled Water,69
Caravan,58
Can't Get Enough - Remastered Version,55
Cheap Sunglasses,56
China Grove,67
Foreplay / Long Time,64
Come Sail Away,59
Give A Little Bit,72
Doctor My Eyes,64
Feel Like Makin' Love - 2015 Remastered Version,66
Do You Feel Like We Do,48
L.A. Woman,66
The Lamb Lies Down On Broadway (Platinum Collection Version),39
Knockin' On Heaven's Door - Remastered,72
Deacon Blues,58
Life In The Fast Lane - Remastered,72
Life's Been Good,69
Locomotive Breath,60
Like A Hurricane,47
Livin' Thing,68
Paradise By the Dashboard Light,65
Paradise City,73
Panama - 2015 Remastered Version,73
Rock You Like A Hurricane,66
Dr. Feelgood,68
Pour Some Sugar On Me - Remastered 2017,75
Still of the Night - 2017 Remastered Version,60
Crazy Train - Remastered,75
You Give Love A Bad Name,26
Seventeen,59
Nobody's Fool,16
Rainbow in the Dark,61
Lay It Down,58
Bad Medicine,67
Metal Health (Bang Your Head),63
The Final Countdown,74
Home Sweet Home,66
No One Like You,60
Close My Eyes Forever,60
Welcome To The Jungle,75
Every Rose Has Its Thorn - Remastered 2003,71
Is This Love - 2017 Remastered Version,61
Lick It Up,62
Once Bitten Twice Shy,61
Wanted Dead Or Alive,67
Don't Know What You Got (Till It's Gone),59
You're In Love,55
"Girls, Girls, Girls",69
Here I Go Again 87 - 2007 Remastered Version,15
Livin' On A Prayer,63
Sweet Child O' Mine,77
Cum on Feel the Noize,68
Jump,19
Rock the Night,7
Talk Dirty To Me - 2006 - Remaster,59
Working for the Weekend,15
Holy Diver,61
Kickstart My Heart,57
Round and Round,56
We're Not Gonna Take It,60
Cherry Pie,68
Summertime Girls - Studio Version,51
18 And Life,60
Heaven's On Fire,66
Dude (Looks Like A Lady),69
Gypsy Road,54
Alone Again,60
Poison,60
Addicted To That Rush,4
Inside Out,47
I Wanna Be Somebody,5
Wait,51
Over The Mountain,3
Wild Frontier - Remastered 2002,48
Armed And Ready - 2008 Remastered Version,4
I Surrender,59
Edge Of A Broken Heart,54
I Don't Believe In Love - Remastered 2003,53
I Hate Myself for Loving You,66
Eye of the Tiger,77
Kiss Me Deadly,55
I Remember You,67
Wild Side,61
Heaven,64
Fallen Angel - Remastered,57
Shout At The Devil,63
Runaway,67
Shake Me,54
Modern Day Cowboy,60
Why Can't This Be Love,62
Up All Night,51
High Enough,59
Rock And Roll All Nite,31
Living After Midnight,64
Wild Child,59
Unskinny Bop - 2006 - Remaster,61
Bark at the Moon,65
In My Dreams (Re-Recorded / Remastered),51
Sister Christian,57
Love Song,45
Ain't Talkin' 'Bout Love - 2015 Remastered Version,65
Ace of Spades,74
Don't Close Your Eyes,49
Detroit Rock City,22
Hot For Teacher - 2015 Remastered Version,66
Don't Treat Me Bad,54
Don't Stop Believin',79
House Of Pain,54
Sharp Dressed Man - 2008 Remastered Version,72
Paranoid - Remastered Version,69
You Shook Me All Night Long,77
I Was Made For Lovin' You,36
Breaking The Chains,57
Uncle Tom's Cabin,52
"Mama, I'm Coming Home",68
Runnin' With The Devil - 2015 Remastered Version,69
Just Like Paradise,54
Since You Been Gone,65
Cryin',48
Barracuda,72
Wind Of Change,37
Every Breath You Take,45
All Out of Love,66
Hard To Say I'm Sorry - 2007 Remastered Version,65
Woman - 2010 - Remaster,69
Foolish Beat,61
Have I Told You Lately,67
Can't Fight This Feeling,73
Every Woman In The World - Digitally Remastered 1999,49
Tonight I Celebrate My Love,65
Endless Love - Endless Love/Soundtrack Version,48
When I See You Smile,67
Drive - Remastered,65
We've Got Tonight,62
Lover's Moon,58
I'll Be Loving You (Forever),64
Arthur's Theme (Best That You Can Do) - Remastered Version,69
Nothing's Gonna Change My Love For You,64
Open Arms,69
The One That You Love,62
True,74
The Flame,64
Nothing's Gonna Stop Us Now,75
"Say You, Say Me",32
Straight From The Heart,55
Take On Me,85
Waiting For A Girl Like You,69
Careless Whisper,13
Woman in Love,67
Do You Remember? - 2016 Remastered,60
Listen To Your Heart,73
Heaven,14
Glory Of Love,72
"Take My Breath Away - Love Theme from ""Top Gun""",72
It Might Be You (Theme From Tootsie),58
The Lady In Red,62
Time After Time,74
Against All Odds (Take A Look At Me Now) - 2016 Remastered,72
Every Time You Go Away,60
I Want To Know What Love Is - Remastered,76
Faithfully,70
Total Eclipse of the Heart,56
With Or Without You - Remastered,35
Alone,73
You're The Inspiration - 2006 Remastered Version,72
Right Here Waiting,74
If You Don't Know Me By Now - 2008 Remastered Version,70
Baby Can I Hold You,70
Eternal Flame,63
(I Just) Died In Your Arms,69
How Am I Supposed to Live Without You,70
Welcome To The Jungle,75
You Shook Me All Night Long,77
Pour Some Sugar On Me - Remastered 2017,75
Jump - 2015 Remastered Version,78
Another One Bites The Dust - Remastered 2011,74
Livin' On A Prayer,63
Should I Stay or Should I Go - Remastered,79
Dancing With Myself,66
Every Breath You Take - Remastered 2003,75
Let's Dance - 1999 Remastered Version,71
Free Fallin',73
With Or Without You - Remastered,70
Need You Tonight,65
Any Way You Want It,66
I Was Made For Lovin' You,36
Dude (Looks Like A Lady),69
When Doves Cry,70
Born in the U.S.A.,73
Rock You Like A Hurricane,66
Every Rose Has Its Thorn - Remastered 2003,71
"Girls, Girls, Girls",69
Here I Go Again 87 - 2007 Remastered Version,15
Walk This Way,59
Sweet Child O' Mine,77
We're Not Gonna Take It,60
Poison,60
I Hate Myself for Loving You,66
Unskinny Bop - 2006 - Remaster,61
Barracuda,72
I Ran,57
Once In A Lifetime - 2005 Remastered Version,68
Personal Jesus - Original Seven Inch Version,62
Desire,63
How Soon Is Now? - 2011 Remastered Version,68
Just Like Heaven - 2006 Remastered Version,48
Billie Jean,84
Bad Medicine,67
Where The Streets Have No Name - Remastered,56
Panama - 2015 Remastered Version,73
Stand - Remastered,16
Jane Says,66
Hungry Like The Wolf - 2009 Remastered Version,72
18 And Life,60
The Safety Dance,56
West End Girls - 2001 Remastered Version,58
Eye of the Tiger,55
You Spin Me Round (Like a Record),72
Shout,69
Tainted Love,26
Dr Feelgood,32
Summer Of '69,80
One,69
Money For Nothing,63
Jessie's Girl,9
Come On Eileen,72
Fight For Your Right,68
Love Will Tear Us Apart - 2010 Remastered Version,64
Runaway,67
Faith - Remastered,75
Working for the Weekend,15
Everybody Wants To Rule The World,82
Take On Me,85
Relax,52
Blue Monday - 2016 Remastered Version,73
Don't You (Forget About Me),73
Don't Stop Believin',76
The Boys Of Summer,75
Addicted To Love,65
I Still Haven't Found What I'm Looking For - Remastered 2007,54
Mountain Song,58
Cum on Feel the Noize,68
Call Me,64
Cherry Pie,68
Walk This Way,66
Crazy Train - Remastered,75
Ace of Spades,74
Run to the Hills - 1998 Remastered Version,70
Real Wild Child (Wild One),34
Rebel Yell,25
Pride (In The Name Of Love),44
She Sells Sanctuary,63
The Final Countdown,74
Personal Jesus - Single Version,68
The Killing Moon,66
Don't Change,22
Boys Don't Cry,71
Rock the Casbah - Remastered,72
Debaser,63
Whip It,55
Love Buzz,43
It's The End Of The World As We Know It (And I Feel Fine),47
Teen Age Riot (Album Version),62
Sunday Bloody Sunday - Remastered 2008,57
Video Killed The Radio Star,70
Waiting Room,61
Don't Want To Know If You Are Lonely,54
Epic,69
New Sensation,42
Brass In Pocket - 2006 Remastered Version,62
Pictures Of You - Remastered,48
Africa,86
Should I Stay or Should I Go - Remastered,79
Billie Jean,84
Sweet Dreams (Are Made of This) - Remastered,83
Don't Stop Believin',58
Time After Time,74
Every Breath You Take,66
You Make My Dreams,64
I Wanna Dance with Somebody (Who Loves Me),25
"80s Baby - feat. Salt-N-Pepa, Naughty By Nature, Tiffany, Debbie Gibson",52
Michael Jackson x Mark Ronson: Diamonds are Invincible,70
Careless Whisper,76
I Love Rock 'N Roll,66
Whip It,47
Beat It - Single Version,79
Uptown Girl,69
Footloose,74
I'm So Excited,67
Freeway of Love - Single Mix,55
You Got It (The Right Stuff),59
Hungry Heart,68
Down Under,62
9 to 5,75
Rosanna,62
Wake Me Up Before You Go-Go - Remastered,62
Maneater,76
Take On Me,85
In Your Eyes,13
Never Gonna Give You Up,55
Your Love,72
Dancing In the Dark,75
99 Luftballons,58
Girls Just Want to Have Fun,69
Thunderstruck,82
Rock You Like a Hurricane,62
Danger Zone,71
Faith - Remastered,75
I Ran,57
You Can Call Me Al,69
We Built This City,75
What I Like About You,70
Somebody's Watching Me - Single Version,69
Nothing's Gonna Stop Us Now,75
How Will I Know,48
Caribbean Queen (No More Love On the Run),56
(I've Had) The Time of My Life,21
You're The Inspiration - 2006 Remastered Version,72
Walk This Way (feat. Aerosmith),69
The Final Countdown,63
Break My Stride,62
Who Can It Be Now?,61
Kiss,75
Beds Are Burning - Remastered,66
Jessie's Girl,70
We Belong - Single Version,12
You Shook Me All Night Long,77
Let's Hear It for the Boy,61
Keep on Loving You - Remastered,71
"Take My Breath Away - Love Theme from ""Top Gun""",72
It's Still Rock and Roll to Me,62
Hold Me Now,52
Everyday People,49
Cum on Feel the Noize,68
Talking In Your Sleep,48
Jump (For My Love),63
Working for the Weekend,15
Faithfully,70
Rock the Casbah - Remastered,72
Can't Fight This Feeling,73
Oh Sherrie,36
I'm on Fire,72
I Want Candy,57
"Ghostbusters - From ""Ghostbusters""",55
Take Me Home Tonight,63
You Got It,54
"I'm Alright (Theme from ""Caddyshack"")",40
Shake Your Body (Down to the Ground) - Single Edit,61
Walk Like an Egyptian,65
Total Eclipse of the Heart,75
You Spin Me Round (Like a Record),72
Hypnotize (feat. Pam Long) - 2016 Remastered,50
California Love - Original Version,75
Don't Believe The Hype,54
"Flava In Ya Ear (feat. The Notorious B.I.G., LL Cool J, Busta Rhymes & Rampage) - 2016 Remastered",51
The Rain (Supa Dupa Fly),61
The World Is Yours,59
Hip Hop Hooray,69
Keep Their Heads Ringin',64
Juicy - 2016 Remastered,47
Gangsta's Paradise,82
Gin And Juice (feat. Dat Nigga Daz),76
Crush On You,57
The Humpty Dance,62
Cause I Can Do It Right,42
Jump Around,77
Put Your Hands Where My Eyes Could See,65
"It's All About The Benjamins (feat. The Notorious B.I.G., Lil' Kim & The Lox) - Remix",56
Sexy M.F.,48
Rump Shaker,44
Hail Mary,68
I Got 5 On It,61
Who Am I (What's My Name)?,72
U.N.I.T.Y.,18
Mama Said Knock You Out,46
Mind Playing Tricks on Me,67
I Get Around,71
Big Poppa,75
"Shook Ones, Pt. II",77
Runnin',65
N.Y. State of Mind,64
Bring Da Ruckus,64
Oh My God,55
Informer,64
Killing Me Softly With His Song,72
Love Like This - 2016 Remaster,45
Feel So Good - 2016 Remastered,45
Insane in the Brain,46
Baby Got Back,27
Sabotage,73
O.P.P,60
Fight The Power,56
Poison,49
U Can't Touch This,73
Tennessee - Remastered,45
Around The Way Girl,48
Can't You See (feat. The Notorious B.I.G.) - 2016 Remastered,42
Get Ur Freak On,73
Can I Kick It?,72
Anywhere - 2016 Remastered,41
"Very Special - feat. Spinderella, Laree Williams And Karen Anderson",44
Woo Hah!! Got You All In Check,42
Return Of The Mack,73
Just A Friend,63
Shimmy Shimmy Ya,68
Money Ain't a Thang,58
Got Your Money (feat. Kelis),65
Knockin' Boots,32
Gettin' Jiggy Wit It,72
Gone Till November,47
Rebirth Of Slick (Cool Like Dat),58
No Scrubs,51
Doo Wop (That Thing),76
Summertime - Single Edit,47
Ghetto Supastar (That is What You Are),70
Jump,69
No Diggity,81
Still Not a Player (feat. Joe),53
I Wish - Radio Edit,63
Regulate,76
Now That We Found Love,45
I'll Be There For You/You're All I Need To Get By,10
It Was A Good Day,64
Funkdafied,50
On & On,52
Murder Was The Case (Death After Visualizing Eternity) (feat. Dat Nigga Daz),39
Under The Bridge,67
Drive,76
Torn - Acoustic MTV Unplugged,61
Wonderwall,21
Give Me One Reason,71
High And Dry,74
Sunny Came Home,62
Fade Into You,72
Hallelujah,57
Bitter Sweet Symphony,32
Meet Virginia,67
How's It Going To Be,67
Iris,77
Mr. Jones,78
Good Riddance (Time of Your Life),77
You Were Meant For Me,66
Fake Plastic Trees,70
Zombie - Acoustic Version,64
Don't Speak,39
Save Tonight,75
Glycerine - Acoustic,14
The Freshmen,65
Loser,70
1979,19
Losing My Religion,28
Push,72
When I Come Around,74
What It's Like,17
Plush - Acoustic,63
Everlong - Acoustic Version,70
Name,66
A Long December,59
Kiss From A Rose - Acoustic Version,56
More Than Words,69
Head Over Feet - Live/Unplugged Version,54
All The Small Things,80
Black Hole Sun,16
Slide,69
Crash into Me,68
Santeria,24
Waterfalls,74
No Diggity,81
I Don't Want to Miss a Thing,78
She's so High,73
When You Say Nothing At All,63
I Don't Want to Wait - Remastered Version,54
Sex & Candy,70
Where Is My Mind?,68
Lovefool - Radio Edit,75
Kind & Generous,59
Karma Police,16
Alive,15
Stellar - acoustic,49
Kryptonite,79
All For You,66
Motorcycle Drive By,58
All Apologies,10
Foolish Games,62
Where Have All the Cowboys Gone ? - Remastered Version,52
Because The Night [MTV Unplugged Version],61
Both Hands,51
Save Me,55
You Learn - Live/Unplugged Version,62
Three Marlenas,56
"The Times They Are A-Changin' - Live at Sony Music Studios, New York, NY - November 1994",49
Sweet Child O' Mine,52
Breathe - Remastered Version,54
She Talks To Angels - Acoustic Bonus Version,46
Cowboy Take Me Away,66
California Stars,57
Annabelle,42
In the Aeroplane Over the Sea,65
Semi-Charmed Life,76
Mr. Jones,78
Two Princes,74
Closing Time,75
Save Tonight,68
Push,72
One Headlight,72
Hey Jealousy,63
I'm Gonna Be (500 Miles),77
Good,63
If You Could Only See,57
You Get What You Give,75
Lump,70
Someday - Remastered,63
All I Want,60
Flagpole Sitta,64
Laid,57
Selling The Drama,54
My Own Worst Enemy,73
In The Meantime,62
Barely Breathing,61
The Way,65
Everything You Want,65
Dyslexic Heart,51
What's My Age Again?,34
No Rain,75
Virtual Insanity - Remastered,55
Got You (Where I Want You),56
High,5
Who's Gonna Ride Your Wild Horses,15
What's Up?,80
Shimmer - Single Version,65
How Bizarre,61
She's so High,73
Runaway Train,70
Alright,73
Bitter Sweet Symphony,32
Don't Speak,66
Right Here Right Now,56
Crazy for This Girl,56
One Week,56
Sex & Candy,70
Send Me On My Way,57
Feed the Tree,47
Why I'm Here,50
Beautiful Girl,52
That Was A Crazy Game of Poker,53
Losing My Religion,7
Unbelievable,11
Little Black Backpack - Remastered,6
Teenage Dirtbag,72
Come Out and Play,11
All Star,83
Absolutely (Story of a Girl) - Radio Mix,68
Roll To Me,60
Hey Leonardo (She Likes Me For Me),4
Inside Out,68
Blister in the Sun - 2002 Remastered Version,69
Cannonball,8
Iris,79
Into Your Arms,6
Mmm Mmm Mmm Mmm,59
Santa Monica,68
It's The End Of The World As We Know It (And I Feel Fine),67
Shine,67
Run-Around,61
Lullaby,52
You Don't Know How It Feels,66
All For You,66
Linger,77
Ironic,60
Breakfast At Tiffany's,68
Crash into Me,68
Counting Blue Cars (Tell Me Your Thoughts On God),60
One Man Army,49
Lovefool - Radio Edit,75
Stupid Girl,59
The Freshmen,65
Glycerine,15
The Distance,63
The Impression That I Get,66
Far Behind,55
Buddy Holly,72
What I Got,20
Wonderwall - Remastered,75
Kiss Me,24
Closer to Fine,55
Life Is A Highway,65
Fade Into You,72
New Age Girl,0
Friday I'm In Love,66
High And Dry,74
Loser,70
She Don't Use Jelly,58
Everything About You,47
Everything Falls Apart,49
Freak Of The Week,45
Better Days (And The Bottom Drops Out),54
Standing Outside a Broken Phone Booth with Money in My Hand,55
Bound For The Floor,55
Smells Like Teen Spirit,77
Wonderwall - Remastered,75
Basket Case,81
Zombie,82
Are You Gonna Go My Way,75
All Star,41
Come As You Are,74
Self Esteem,71
